,PCA1,PCA2,PCA3,0
74,-6.379621059927548,-3.6901485023635536,3.161246351374034,Juan Mata
75,-3.875156619038267,3.978626544537693,3.8687029741363195,Javi Martinez
76,-7.320444081783568,-3.9886466008129142,3.6119136726463177,Dimitri Payet
77,-7.154319105470634,-4.681043703055365,1.965528514707943,Dries Mertens
78,-2.99114940453019,4.7464379613203755,2.1996384433488596,Sokratis
79,-7.350933125020063,-0.5074535532662894,3.584428464021373,Marek Hamšik
80,-6.491879685602606,2.7679702429249122,4.161512663595523,Blaise Matuidi
81,10.702527175384331,-1.6004650259105124,6.109302323275838,Stéphane Ruffier
82,-3.1366240392970886,5.311400844149485,2.768726913916718,Laurent Koscielny
83,-6.4200483351171895,2.052503030187815,3.0671138999119627,Filipe Luís
84,-3.415469644612608,4.289393747242881,3.1920306965997187,Vincent Kompany
