,PCA1,PCA2,PCA3,0,Cluster
89,-2.7978113212919347,4.806154934537121,2.0456755708346503,Raphaël Varane,3
90,-4.693793225678772,-3.8308276038745195,2.3370009145511608,Mauro Icardi,4
91,-6.395910213432629,-5.245732810428268,1.0985496558307482,Lorenzo Insigne,4
92,-6.7946967464640995,-2.18332301180932,2.6026489352829416,Isco,4
93,-6.968033619739438,-0.4410179114515954,3.94543114863647,Koke,0
94,-0.34438719560347797,6.708431637275828,0.9626608350903058,Kostas Manolas,3
95,10.285997461712057,-1.5090504782266516,6.6562149282919725,Danijel Subašić,1
96,-3.3850515454002457,4.394795602607159,2.809648534358604,Nicolás Otamendi,0
97,-3.6410706317977413,4.364957542275466,2.4932549997840736,Shkodran Mustafi,0
98,-6.172279660149678,2.970503041941067,4.7347691704129256,Nemanja Matić,0
99,-7.028755828443246,1.6409710915166356,2.838668191582439,Alex Sandro,0
100,0.31982388425297686,7.092040270487871,1.4532618039924667,Kamil Glik,3
101,-7.470551769035674,-3.704897414659776,2.2227370166760285,Douglas Costa,4
102,-7.1153744264637035,1.5024991464714006,4.660316921597841,Kevin Strootman,0
103,-6.417393247719044,-3.1338881473728426,2.10007142498388,Nicolás Gaitán,4
104,-5.832508025861841,2.448024572569351,4.576904358620941,Bruno,0
105,-7.585467271780113,-2.7339707831344975,3.3049663802632496,Ivan Perišić,4
106,-5.822545721883961,2.7457590915457284,3.249636505145679,David Luiz,0
107,-6.754119273612837,2.178452502633434,5.370666065746665,Sami Khedira,0
108,-2.930983439350033,4.278873465036252,2.666084083664606,Benedikt Höwedes,0
109,11.06763873197036,-0.9932967965492662,6.025201720563905,Ralf Fährmann,1
110,9.960467449468938,-2.098916616242074,5.4627160230750285,Sergio Asenjo,1
111,-6.874861684114133,-1.2253451134904385,2.9874505692359192,Éver Banega,4
112,-1.8183436608403207,5.183789292380249,1.9816868722546404,Medhi Benatia,3
113,10.723942534261704,-1.525123628144834,6.333323091858632,Steve Mandanda,1
114,-7.53872224866816,0.5997695271839114,2.837911443349496,Dani Alves,0
115,-7.66869892289251,-0.7718172137792118,4.309416394695465,Arda Turan,0
116,-4.944599659292776,4.123762665470786,3.517362745414783,Javier Mascherano,0
117,-5.410971494489824,-1.2715302814247864,4.372560349717708,Aduriz,0
118,-7.080983299012156,0.6386065807025902,5.0634174387491,Yaya Touré,0
119,-2.6528515291519597,4.978425285740717,1.3742811614538826,Eric Bailly,3
120,-1.3823680998496415,5.808396726590928,1.463602116481135,José María Giménez,3
121,-6.342177986664997,2.63004817344987,3.465709030205613,N'Golo Kanté,0
122,10.607007087527556,-2.0179074213701247,4.990804016888946,Gerónimo Rulli,1
123,-6.860008278762396,0.2771791972958601,3.3276443644802103,João Mário,0
124,-6.082701614054847,0.7360413660260646,3.490256154119741,André Gomes,0
125,-2.827361505734931,4.468443865780872,1.4773250612674413,Marquinhos,3
126,-5.337748916327987,-3.8081989571950734,2.636213163685596,Carlos Bacca,4
127,-4.803934694254403,3.354511776956487,3.5806963234274867,William Carvalho,0
128,-6.113816358177303,-3.207855906577697,2.2352466656093215,Karim Bellarabi,4
129,-5.440376200102584,-3.0851363741314723,1.1133157693003997,Raheem Sterling,4
130,-6.604448060705841,-4.161061686067572,2.9542418757698337,Julian Draxler,4
131,-7.370142576837819,-2.320954689891776,3.4727738410405924,Roberto Firmino,4
132,-5.021897007449359,3.7648700260393864,2.7249349287446307,Marcos Rojo,0
133,-0.14636700540606987,6.092593922232588,1.3718591540399598,Kalidou Koulibaly,3
134,-4.749723722131301,3.7848089495537276,3.366074284338099,Danilo Pereira,0
135,10.879819855749911,-1.9006144324220977,5.227627380801278,Timo Horn,1
136,-5.092105731135639,3.5631878637012595,3.8803130299611914,Casemiro,0
137,-5.957289414196166,-3.217197950324965,3.5349670593450866,Vitolo,4
138,9.87677244434695,-1.880912622490853,5.438289949082779,Anthony Lopes,1
139,10.409557026107901,-2.164455077214122,5.070098531737134,Mattia Perin,1
140,-3.039334991307113,4.275887449968191,2.345279417743247,Joel Matip,0
141,-7.571001231060735,-2.069492269524788,1.9509450260645005,Juan Cuadrado,4
142,-6.228781993494853,-3.838555064290017,3.112187506773152,Iago Aspas,4
143,10.453404706803596,-1.3882204365654849,6.399334830944778,Marc-André ter Stegen,1
144,-6.0740799231147875,-3.087053792032431,3.0374834426595823,Mario Götze,4
145,-7.567923524068159,0.10629228564101073,4.131243576277752,Ander Herrera,0
146,-6.98448971063784,-1.7571769459957778,3.4003923845944866,Javier Pastore,4
147,-2.3435061896696383,4.8197143649432554,2.6811003285174113,Chris Smalling,3
148,-6.442494907842747,-3.6825737878591425,2.374320773750873,Pedro,4
149,-7.378617249171795,-0.599131858745474,3.5006598258090724,Giacomo Bonaventura,0
150,10.611327201859737,-1.3609244756026426,5.528599417371176,Roman Bürki,1
151,-6.016604299041226,-3.0277131349340043,2.4270718384727568,Oscar,4
152,-4.563935375179873,3.2220495584636986,4.643080726497801,Steven N'Zonzi,0
153,-7.041414142873367,0.0869179753121405,3.5453550229327715,Aaron Ramsey,0
154,-3.2251555228955326,4.222094732486428,2.278294571913269,Mateo Musacchio,0
155,-2.8453302386633093,4.10524354486824,2.4088229381979884,Ömer Toprak,0
156,-6.066053264739249,-3.242127097307459,2.130977184852612,José Callejón,4
157,-7.267104316557893,1.0111052568497814,3.4428653579422583,Adrien Silva,0
158,-5.465504147422891,2.925581035450143,2.466761671495743,Azpilicueta,0
159,-7.428191406595918,-4.885979672214855,2.6322833497324485,Sebastian Giovinco,4
160,-4.942822634934432,-2.2857329264159296,3.099898785372716,Anthony Modeste,4
161,-5.345234316605505,0.1027297305610742,3.922621811389435,Mario Mandžukić,0
162,-7.365227637871381,-0.47651964694313265,3.3759097795634037,Adam Lallana,0
163,-4.7547505482685475,-1.5149507053063138,4.031618861289713,Olivier Giroud,4
164,9.790860705914051,-1.7495140130757112,5.961129108632805,Rui Patrício,1
165,9.94343062939748,-1.8529972643995212,5.898593698484966,Yann Sommer,1
166,-6.871801851853334,-3.689283941548474,3.7244302970025043,Jonas,4
167,-6.454375865548108,-2.94830840039627,2.9157782760350064,Kévin Gameiro,4
168,9.06587143715114,-1.9539887245549719,6.5451748779497825,Claudio Bravo,1
169,-5.572164436738266,2.4472449153778295,3.2642588016129293,Łukasz Piszczek,0
170,-5.3044544747593525,3.32321275160171,3.4064888657148327,Jan Vertonghen,0
171,10.52961986818911,-1.6572132079261241,5.4788269674476515,Asmir Begović,1
172,-4.2870236189918085,3.122998060412559,3.8705314213615902,Naldo,0
173,-5.514970253037584,-4.200155028360181,2.4789980316559257,Daniel Sturridge,4
174,-0.9354801009870167,5.519107741631911,2.679681761974448,José Fonte,3
175,-3.4904442159130817,3.9187786411589265,3.653346109347205,Ezequiel Garay,0
176,-7.315874349795566,-3.8509205553606938,2.292989515359416,Samir Nasri,4
177,-2.472857279359329,4.233105495055551,2.6740506504650345,Gary Cahill,0
178,-2.250609835263634,5.397200846586899,3.001594259968668,Ashley Williams,3
179,-7.399103599460597,1.0081621252805908,3.272330681360448,Leighton Baines,0
180,10.41468918103806,-2.373168608448348,5.306999118139679,Kasper Schmeichel,1
181,-7.025669260693211,-1.1215464007147993,3.56753694667903,Borja Valero,0
182,-7.180475387505508,-3.7239061921334704,3.1505267145603777,Hatem Ben Arfa,4
183,9.324762003241467,-2.3752010341085534,6.004218019412523,Joe Hart,1
184,-5.517114494508278,1.8359280986273467,2.5882831732811558,Juanfran,0
185,-6.5975950557199,-4.111656467656459,3.05293821515053,Wesley Sneijder,4
186,-7.2855228143801085,-5.208989613043073,3.7255134632949325,Nani,4
187,-6.550121584507209,2.4442816793447886,3.02318704966765,Stephan Lichtsteiner,0
188,-7.610529669912099,-0.8599846504759193,4.770494910491108,Wayne Rooney,0
189,-5.945248829402819,3.1951170950358776,4.316532344292783,Daniele De Rossi,0
190,10.318090224384523,-1.6167291988776167,6.249214157271012,José Reina,1
191,-6.852378736562778,-5.3585894104699605,2.8839890800659904,Quaresma,4
192,-6.026910442075931,-3.168339375750204,2.68144074100925,Marco Asensio,4
193,-5.926522075366815,-2.781432359264293,2.0158725505916455,Bernardo Silva,4
194,-5.428607961771936,-0.7129476144316177,3.888852649785751,Islam Slimani,0
195,-0.5051644872002673,5.177812971753001,1.637291156862234,Jonathan Tah,3
196,-6.660840813857376,-3.308705824642432,1.8707209702405616,Anthony Martial,4
197,-6.14865261102188,-0.4759086495682408,2.536793355915755,Dele Alli,0
198,10.442877514174029,-2.3855632267723053,4.804747347213365,Ederson,1
199,-5.771202574246755,-2.6611216010807177,1.10292187708799,Mohamed Salah,4
